slice_file_name,fsID,start,end,salience,fold,classID,class
100263-2-0-117.wav,100263,58.5,62.5,1,1,1,children_playing
100263-2-0-121.wav,100263,60.5,64.5,1,1,1,children_playing
100263-2-0-126.wav,100263,63.0,67.0,1,1,1,children_playing
100263-2-0-137.wav,100263,68.5,72.5,1,1,1,children_playing
100652-3-0-0.wav,100652,0.0,4.0,1,2,2,dog_bark
100652-3-0-1.wav,100652,0.5,4.5,1,2,2,dog_bark
100652-3-0-2.wav,100652,1.0,5.0,1,2,2,dog_bark
100652-3-0-3.wav,100652,1.5,5.5,1,2,2,dog_bark
100648-1-0-0.wav,100648,4.823402,5.471927,2,3,3,car_horn
100648-1-1-0.wav,100648,8.998279,10.052132,2,3,3,car_horn
100648-1-2-0.wav,100648,16.699509,17.104837,2,3,3,car_horn
100648-1-3-0.wav,100648,17.631764,19.253075,2,3,3,car_horn
102853-8-0-0.wav,102853,0.0,4.0,2,4,4,siren
102853-8-0-1.wav,102853,0.5,4.5,2,4,4,siren
102853-8-0-2.wav,102853,1.0,5.0,2,4,4,siren
102853-8-0-3.wav,102853,1.5,5.5,2,4,4,siren
100852-0-0-0.wav,100852,0.0,4.0,1,5,5,air_conditioner
100852-0-0-1.wav,100852,0.5,4.5,1,5,5,air_conditioner
100852-0-0-10.wav,100852,5.0,9.0,1,5,5,air_conditioner
100852-0-0-18.wav,100852,9.0,13.0,1,5,5,air_conditioner
102857-5-0-0.wav,102857,0.0,4.0,1,6,6,engine_idling
102857-5-0-1.wav,102857,0.5,4.5,1,6,6,engine_idling
102857-5-0-10.wav,102857,5.0,9.0,1,6,6,engine_idling
102857-5-0-11.wav,102857,5.5,9.5,1,6,6,engine_idling
103074-7-2-0.wav,103074,42.347083,43.727176,1,7,7,jackhammer
103074-7-3-0.wav,103074,46.632637,50.632637,1,7,7,jackhammer
103074-7-3-1.wav,103074,47.132637,51.132637,1,7,7,jackhammer
103074-7-3-2.wav,103074,47.632637,51.632637,1,7,7,jackhammer
103199-4-0-0.wav,103199,0.0,4.0,1,8,8,drilling
103199-4-0-3.wav,103199,1.5,5.5,1,8,8,drilling
103199-4-0-4.wav,103199,2.0,6.0,1,8,8,drilling
103199-4-0-5.wav,103199,2.5,6.5,1,8,8,drilling
107653-9-0-12.wav,107653,6.0,10.0,2,9,9,street_music
107653-9-0-14.wav,107653,7.0,11.0,2,9,9,street_music
107653-9-0-18.wav,107653,9.0,13.0,2,9,9,street_music
107653-9-0-3.wav,107653,1.5,5.5,2,9,9,street_music
135526-6-4-0.wav,135526,10.569587,12.359403,1,10,10,gun_shot
135526-6-5-0.wav,135526,12.359403,14.657139,1,10,10,gun_shot
135526-6-6-0.wav,135526,14.657139,16.858129,1,10,10,gun_shot
135526-6-7-0.wav,135526,16.858129,18.913998,1,10,10,gun_shot
